id,type,domain,enabled,date_added,date_modified,comment
156,0,tawk.to,1,1660604085,1660604085,"Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk"
157,0,tedcdn.com,1,1660604086,1660604086,"Used by ted.com streams. - qjz9zk"
158,0,themoviedb.com,1,1660604086,1660604086,"Metadata for movies - qjz9zk"
159,0,thetvdb.com,1,1660604086,1660604086,"Metadata for TV series - qjz9zk"
160,0,tinyurl.com,1,1660604088,1660604088,"Popular URL shortner - qjz9zk"
161,0,title.auth.xboxlive.com,1,1660604088,1660604088,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
162,0,title.mgt.xboxlive.com,1,1660604089,1660604089,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
163,0,traffic.libsyn.com,1,1660604089,1660604089,"Used in Pocketcasts app to serve and download podcasts. - qjz9zk"
164,0,tvdb2.plex.tv,1,1660604090,1660604090,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
165,0,tvthemes.plexapp.com,1,1660604090,1660604090,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
166,0,twimg.com,1,1660604090,1660604090,"Owned by Twitter. Used to deliver media on Twitter. - qjz9zk"
167,0,ui.skype.com,1,1660604091,1660604091,"Used to make group calls, group chats etc. on Skype. - qjz9zk"
168,0,video-stats.l.google.com,1,1660604092,1660604092,"Used to record YouTube watch history. Blocking this domain will pause your watch history on YouTube. - qjz9zk"
169,0,videos.vidible.tv,1,1660604092,1660604092,"Video delivery systems, popular in entertainment and news sites. - qjz9zk"
170,0,widget-cdn.rpxnow.com,1,1660604093,1660604093,"Owned by Akamai Technologies. Used as a sign in method in various apps and sites. - qjz9zk"
171,0,win10.ipv6.microsoft.com,1,1660604093,1660604093,"It gives full IPv6 connectivity for IPv6-capable hosts that are on the IPv4 Internet but have no native connection to an IPv6 network.  - qjz9zk"
172,0,wp.com,1,1660604093,1660604093,"Owned by WordPress.com hosting. - qjz9zk"
173,0,ws.audioscrobbler.com,1,1660604094,1660604094,"Owned by last.fm. Used to get track metadata using last.fm API. - qjz9zk"
174,0,www.dataplicity.com,1,1660604094,1660604094,"Used to remotely control your Raspberry-Pi. - qjz9zk"
175,0,www.googleapis.com,1,1660604095,1660604095,"An important domain used to provide APIs to various Google services.  - qjz9zk"
176,0,www.msftncsi.com,1,1660604095,1660604095,"Owned by Microsoft. This domain is checked by the operating systems when connecting via wifi, and if they do not get the response they expect, they may try to open a wifi login page or similar as they believe they are located behind a captive portal. - qjz9zk"
177,0,www.no-ip.com,1,1660604096,1660604096,"No-IP offers DNS services, email, network monitoring and SSL certificates. - qjz9zk"
178,0,www.youtube-nocookie.com,1,1660604097,1660604097,"Owned by Google. YouTube launched a new feature on the site recently that it called Privacy-Enhanced Mode. This domain is used to embed the videos on third-party sites with less trackers. - qjz9zk"
179,0,xbox.ipv6.microsoft.com,1,1660604097,1660604097,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
180,0,xboxexperiencesprod.experimentation.xboxlive.com,1,1660604098,1660604098,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
181,0,xflight.xboxlive.com,1,1660604098,1660604098,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
182,0,xkms.xboxlive.com,1,1660604098,1660604098,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
183,0,xsts.auth.xboxlive.com,1,1660604099,1660604099,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
184,0,youtube-nocookie.com,1,1660604099,1660604099,"Owned by Google. YouTube launched a new feature on the site recently that it called Privacy-Enhanced Mode. This domain is used to embed the videos on third-party sites with less trackers. - qjz9zk"
185,0,youtu.be,1,1660604100,1660604100,"YouTube URL shortner. Used while sharing videos, playlists, channels etc. - qjz9zk"
186,0,yt3.ggpht.com,1,1660604101,1660604101,"Owned by Google. Used to deliver static files over the internet. - qjz9zk"
187,0,vidtech.cbsinteractive.com,1,1660604103,1660604103,"Used to deliver videos over the internet. - qjz9zk"
188,0,continuum.dds.microsoft.com,1,1660604104,1660604104,"Used by YourPhone app by Microsoft on Windows 10 for mirroring Android notifications - qjz9zk"
189,0,connectivitycheck.gstatic.com,1,1660604105,1660604105,"Owned by Google. Used by mobiles devices to check internet connectivity. Also known as Network Connectivity Status Indicator-NCSI. - qjz9zk"
190,0,connectivitycheck.android.com,1,1660604105,1660604105,"Owned by Google. Used by mobiles devices to check internet connectivity. Also known as Network Connectivity Status Indicator-NCSI. - qjz9zk"
191,0,www.msftconnecttest.com,1,1660604106,1660604106,"Owned by Microsoft. Used by Windows systems to check internet connectivity. Also known as Network Connectivity Status Indicator-NCSI. - qjz9zk"
192,0,5231.xg4ken.com,1,1660604235,1660604235,
193,0,7eer.net,1,1660604236,1660604236,
194,0,ad.atdmt.com,1,1660604237,1660604237,
195,0,ad.doubleclick.net,1,1660604237,1660604237,
196,0,affiliatefuture.com,1,1660604238,1660604238,
197,0,anrdoezrs.net,1,1660604238,1660604238,
198,0,apmebf.com,1,1660604239,1660604239,
199,0,avantlink.com,1,1660604240,1660604240,
200,0,bfast.com,1,1660604241,1660604241,
201,0,cc-dt.com,1,1660604242,1660604242,
202,0,cj.com,1,1660604243,1660604243,
203,0,cj.dotomi.com,1,1660604244,1660604244,
204,0,click.linksynergy.com,1,1660604245,1660604245,
205,0,clickserve.cc-dt.com,1,1660604245,1660604245,
206,0,clickserve.dartsearch.net,1,1660604245,1660604245,
207,0,clk.tradedoubler.com,1,1660604246,1660604246,
208,0,commission-junction.com,1,1660604247,1660604247,
209,0,doubleclick.net,1,1660604248,1660604248,
210,0,dpbolvw.net,1,1660604249,1660604249,
211,0,emjcd.com,1,1660604250,1660604250,
212,0,evyy.net,1,1660604250,1660604250,
213,0,gan.doubleclick.net,1,1660604251,1660604251,
214,0,go2jump.org,1,1660604252,1660604252,
215,0,gopjn.com,1,1660604252,1660604252,
216,0,go.redirectingat.com,1,1660604253,1660604253,
217,0,go.skimresources.com,1,1660604253,1660604253,
218,0,goto.target.com,1,1660604254,1660604254,
219,0,goto-target-com.customtraffic.impactradius.com,1,1660604254,1660604254,
220,0,jdoqocy.com,1,1660604254,1660604254,
221,0,kqzyfj.com,1,1660604255,1660604255,
222,0,linksynergy.com,1,1660604255,1660604255,
223,0,ojrq.net,1,1660604256,1660604256,
224,0,onenetworkdirect.net,1,1660604257,1660604257,
